act,scene,speaker,sentence,pronoun,resolved_to,gender_group,window_size_used
2,2,MACBETH,"List'ning their fear, I could not say ""Amen,"" When they did say, ""God bless us.""",they,MACBETH,neutral,7
2,2,LADY MACBETH,Consider it not so deeply.,it,LADY MACBETH,neutral,7
2,2,LADY MACBETH,"These deeds must not be thought After these ways; so, it will make us mad.",it,LADY MACBETH,neutral,7
2,2,MACBETH,"Still it cried, ""Sleep no more!"" to all the house: ""Glamis hath murder'd sleep, and therefore Cawdor Shall sleep no more",it,MACBETH,neutral,7
2,2,LADY MACBETH,Who was it that thus cried?,it,LADY MACBETH,neutral,7
2,2,LADY MACBETH,"They must lie there: go carry them, and smear The sleepy grooms with blood.",They,LADY MACBETH,neutral,7
2,2,LADY MACBETH,"They must lie there: go carry them, and smear The sleepy grooms with blood.",them,LADY MACBETH,neutral,7
2,2,LADY MACBETH,"If he do bleed, I'll gild the faces of the grooms withal, For it must seem their guilt.",he,LADY MACBETH,male,7
2,2,LADY MACBETH,"If he do bleed, I'll gild the faces of the grooms withal, For it must seem their guilt.",it,LADY MACBETH,neutral,7
2,2,LADY MACBETH,"If he do bleed, I'll gild the faces of the grooms withal, For it must seem their guilt.",their,LADY MACBETH,neutral,7
2,2,MACBETH,"Ha, they pluck out mine eyes!",they,MACBETH,neutral,7
2,2,LADY MACBETH,A little water clears us of this deed: How easy is it then!,it,LADY MACBETH,neutral,7
2,3,PORTER,"If a man were porter of hell gate, he should have old turning the key.",he,PORTER,unknown,2
2,3,PORTER,Here's a farmer that hanged himself on the expectation of plenty: come in time; have napkins enow about you; here you'll,himself,PORTER,unknown,6
2,3,PORTER,"I'll devil-porter it no further: I had thought to have let in some of all professions, that go the primrose way to th' e",it,PORTER,neutral,7
